CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE_CATEGORY,CUMULATIVE_RATE,WEEKLY_RATE
New Mexico,EIP,2020,2020,12,Overall,0.5,0.3
New Mexico,EIP,2020,2020,13,Overall,1.7,1.2
New Mexico,EIP,2020,2020,14,Overall,null,null
New Mexico,EIP,2020,2020,15,Overall,null,null
New Mexico,EIP,2020,2020,16,Overall,null,null
New Mexico,EIP,2020,2020,17,Overall,null,null
New Mexico,EIP,2020,2020,18,Overall,null,null
New Mexico,EIP,2020,2020,19,Overall,null,null
New Mexico,EIP,2020,2020,20,Overall,null,null
New Mexico,EIP,2020,2020,21,Overall,null,null
New Mexico,EIP,2020,2020,22,Overall,null,null
New Mexico,EIP,2020,2020,23,Overall,null,null
New Mexico,EIP,2020,2020,24,Overall,null,null
New Mexico,EIP,2020,2020,25,Overall,null,null
New Mexico,EIP,2020,2020,26,Overall,null,null
New Mexico,EIP,2020,2020,27,Overall,null,null
New Mexico,EIP,2020,2020,28,Overall,null,null
New Mexico,EIP,2020,2020,29,Overall,null,null
New Mexico,EIP,2020,2020,30,Overall,null,null
New Mexico,EIP,2020,2020,31,Overall,null,null
New Mexico,EIP,2020,2020,32,Overall,null,null
New Mexico,EIP,2020,2020,33,Overall,null,null
New Mexico,EIP,2020,2020,34,Overall,null,null
New Mexico,EIP,2020,2020,35,Overall,null,null
New Mexico,EIP,2020,2020,36,Overall,null,null
New Mexico,EIP,2020,2020,37,Overall,null,null
New Mexico,EIP,2020,2020,38,Overall,null,null
New Mexico,EIP,2020,2020,39,Overall,null,null
New Mexico,EIP,2020,2020,10,65-74 yr,0,0
New Mexico,EIP,2020,2020,11,65-74 yr,0.7,0.7
New Mexico,EIP,2020,2020,12,65-74 yr,2.2,1.5
New Mexico,EIP,2020,2020,13,65-74 yr,5.2,3
New Mexico,EIP,2020,2020,14,65-74 yr,null,null
New Mexico,EIP,2020,2020,15,65-74 yr,null,null
New Mexico,EIP,2020,2020,16,65-74 yr,null,null
New Mexico,EIP,2020,2020,17,65-74 yr,null,null
New Mexico,EIP,2020,2020,18,65-74 yr,null,null
New Mexico,EIP,2020,2020,19,65-74 yr,null,null
New Mexico,EIP,2020,2020,20,65-74 yr,null,null
New Mexico,EIP,2020,2020,21,65-74 yr,null,null
New Mexico,EIP,2020,2020,22,65-74 yr,null,null
New Mexico,EIP,2020,2020,23,65-74 yr,null,null
New Mexico,EIP,2020,2020,24,65-74 yr,null,null
New Mexico,EIP,2020,2020,25,65-74 yr,null,null
New Mexico,EIP,2020,2020,26,65-74 yr,null,null
New Mexico,EIP,2020,2020,27,65-74 yr,null,null
New Mexico,EIP,2020,2020,28,65-74 yr,null,null
New Mexico,EIP,2020,2020,29,65-74 yr,null,null
New Mexico,EIP,2020,2020,30,65-74 yr,null,null
New Mexico,EIP,2020,2020,31,65-74 yr,null,null
New Mexico,EIP,2020,2020,32,65-74 yr,null,null
New Mexico,EIP,2020,2020,33,65-74 yr,null,null
New Mexico,EIP,2020,2020,34,65-74 yr,null,null
New Mexico,EIP,2020,2020,35,65-74 yr,null,null
New Mexico,EIP,2020,2020,36,65-74 yr,null,null
New Mexico,EIP,2020,2020,37,65-74 yr,null,null
New Mexico,EIP,2020,2020,38,65-74 yr,null,null
New Mexico,EIP,2020,2020,39,65-74 yr,null,null
New Mexico,EIP,2020,2020,10,75-84 yr,0,0
New Mexico,EIP,2020,2020,11,75-84 yr,1.5,1.5
New Mexico,EIP,2020,2020,12,75-84 yr,1.5,0
New Mexico,EIP,2020,2020,13,75-84 yr,3.1,1.5
New Mexico,EIP,2020,2020,14,75-84 yr,null,null
New Mexico,EIP,2020,2020,15,75-84 yr,null,null
New Mexico,EIP,2020,2020,16,75-84 yr,null,null
New Mexico,EIP,2020,2020,17,75-84 yr,null,null
New Mexico,EIP,2020,2020,18,75-84 yr,null,null
New Mexico,EIP,2020,2020,19,75-84 yr,null,null
New Mexico,EIP,2020,2020,20,75-84 yr,null,null
New Mexico,EIP,2020,2020,21,75-84 yr,null,null
New Mexico,EIP,2020,2020,22,75-84 yr,null,null
New Mexico,EIP,2020,2020,23,75-84 yr,null,null
New Mexico,EIP,2020,2020,24,75-84 yr,null,null
New Mexico,EIP,2020,2020,25,75-84 yr,null,null
New Mexico,EIP,2020,2020,26,75-84 yr,null,null
New Mexico,EIP,2020,2020,27,75-84 yr,null,null
New Mexico,EIP,2020,2020,28,75-84 yr,null,null
New Mexico,EIP,2020,2020,29,75-84 yr,null,null
New Mexico,EIP,2020,2020,30,75-84 yr,null,null
New Mexico,EIP,2020,2020,31,75-84 yr,null,null
New Mexico,EIP,2020,2020,32,75-84 yr,null,null
New Mexico,EIP,2020,2020,33,75-84 yr,null,null
New Mexico,EIP,2020,2020,34,75-84 yr,null,null
New Mexico,EIP,2020,2020,35,75-84 yr,null,null
New Mexico,EIP,2020,2020,36,75-84 yr,null,null
New Mexico,EIP,2020,2020,37,75-84 yr,null,null
New Mexico,EIP,2020,2020,38,75-84 yr,null,null
New Mexico,EIP,2020,2020,39,75-84 yr,null,null
New Mexico,EIP,2020,2020,10,85+,0,0
New Mexico,EIP,2020,2020,11,85+,0,0
New Mexico,EIP,2020,2020,12,85+,0,0
New Mexico,EIP,2020,2020,13,85+,3.9,3.9
New Mexico,EIP,2020,2020,14,85+,null,null
New Mexico,EIP,2020,2020,15,85+,null,null
New Mexico,EIP,2020,2020,16,85+,null,null
New Mexico,EIP,2020,2020,17,85+,null,null
New Mexico,EIP,2020,2020,18,85+,null,null
New Mexico,EIP,2020,2020,19,85+,null,null
New Mexico,EIP,2020,2020,20,85+,null,null
New Mexico,EIP,2020,2020,21,85+,null,null
New Mexico,EIP,2020,2020,22,85+,null,null
New Mexico,EIP,2020,2020,23,85+,null,null
New Mexico,EIP,2020,2020,24,85+,null,null
New Mexico,EIP,2020,2020,25,85+,null,null
New Mexico,EIP,2020,2020,26,85+,null,null
New Mexico,EIP,2020,2020,27,85+,null,null
New Mexico,EIP,2020,2020,28,85+,null,null
New Mexico,EIP,2020,2020,29,85+,null,null
New Mexico,EIP,2020,2020,30,85+,null,null
New Mexico,EIP,2020,2020,31,85+,null,null
New Mexico,EIP,2020,2020,32,85+,null,null
New Mexico,EIP,2020,2020,33,85+,null,null
New Mexico,EIP,2020,2020,34,85+,null,null
New Mexico,EIP,2020,2020,35,85+,null,null
New Mexico,EIP,2020,2020,36,85+,null,null
New Mexico,EIP,2020,2020,37,85+,null,null
New Mexico,EIP,2020,2020,38,85+,null,null
New Mexico,EIP,2020,2020,39,85+,null,null
New York,EIP,2020,2020,10,0-4 yr,0,0
New York,EIP,2020,2020,11,0-4 yr,0,0
New York,EIP,2020,2020,12,0-4 yr,0,0
New York,EIP,2020,2020,13,0-4 yr,0.9,0.9
New York,EIP,2020,2020,14,0-4 yr,null,null
New York,EIP,2020,2020,15,0-4 yr,null,null
New York,EIP,2020,2020,16,0-4 yr,null,null
New York,EIP,2020,2020,17,0-4 yr,null,null
New York,EIP,2020,2020,18,0-4 yr,null,null
New York,EIP,2020,2020,19,0-4 yr,null,null
New York,EIP,2020,2020,20,0-4 yr,null,null
New York,EIP,2020,2020,21,0-4 yr,null,null
New York,EIP,2020,2020,22,0-4 yr,null,null
New York,EIP,2020,2020,23,0-4 yr,null,null
New York,EIP,2020,2020,24,0-4 yr,null,null
New York,EIP,2020,2020,25,0-4 yr,null,null
New York,EIP,2020,2020,26,0-4 yr,null,null
New York,EIP,2020,2020,27,0-4 yr,null,null
New York,EIP,2020,2020,28,0-4 yr,null,null
New York,EIP,2020,2020,29,0-4 yr,null,null
New York,EIP,2020,2020,30,0-4 yr,null,null
New York,EIP,2020,2020,31,0-4 yr,null,null
New York,EIP,2020,2020,32,0-4 yr,null,null
New York,EIP,2020,2020,33,0-4 yr,null,null
New York,EIP,2020,2020,34,0-4 yr,null,null
New York,EIP,2020,2020,35,0-4 yr,null,null
New York,EIP,2020,2020,36,0-4 yr,null,null
New York,EIP,2020,2020,37,0-4 yr,null,null
New York,EIP,2020,2020,38,0-4 yr,null,null
New York,EIP,2020,2020,39,0-4 yr,null,null
New York,EIP,2020,2020,10,5-17 yr,0,0
New York,EIP,2020,2020,11,5-17 yr,0,0
New York,EIP,2020,2020,12,5-17 yr,0,0
New York,EIP,2020,2020,13,5-17 yr,0,0
New York,EIP,2020,2020,14,5-17 yr,null,null
New York,EIP,2020,2020,15,5-17 yr,null,null
New York,EIP,2020,2020,16,5-17 yr,null,null
New York,EIP,2020,2020,17,5-17 yr,null,null
New York,EIP,2020,2020,18,5-17 yr,null,null
New York,EIP,2020,2020,19,5-17 yr,null,null
New York,EIP,2020,2020,20,5-17 yr,null,null
New York,EIP,2020,2020,21,5-17 yr,null,null
New York,EIP,2020,2020,22,5-17 yr,null,null
New York,EIP,2020,2020,23,5-17 yr,null,null
New York,EIP,2020,2020,24,5-17 yr,null,null
New York,EIP,2020,2020,25,5-17 yr,null,null
New York,EIP,2020,2020,26,5-17 yr,null,null
New York,EIP,2020,2020,27,5-17 yr,null,null
New York,EIP,2020,2020,28,5-17 yr,null,null
New York,EIP,2020,2020,29,5-17 yr,null,null
New York,EIP,2020,2020,30,5-17 yr,null,null
New York,EIP,2020,2020,31,5-17 yr,null,null
New York,EIP,2020,2020,32,5-17 yr,null,null
New York,EIP,2020,2020,33,5-17 yr,null,null
New York,EIP,2020,2020,34,5-17 yr,null,null
New York,EIP,2020,2020,35,5-17 yr,null,null
New York,EIP,2020,2020,36,5-17 yr,null,null
New York,EIP,2020,2020,37,5-17 yr,null,null
New York,EIP,2020,2020,38,5-17 yr,null,null
New York,EIP,2020,2020,39,5-17 yr,null,null
New York,EIP,2020,2020,10,18-49 yr,0,0
New York,EIP,2020,2020,11,18-49 yr,0,0
New York,EIP,2020,2020,12,18-49 yr,0.7,0.7
New York,EIP,2020,2020,13,18-49 yr,2.9,2.3
New York,EIP,2020,2020,14,18-49 yr,null,null
New York,EIP,2020,2020,15,18-49 yr,null,null
New York,EIP,2020,2020,16,18-49 yr,null,null
New York,EIP,2020,2020,17,18-49 yr,null,null
New York,EIP,2020,2020,18,18-49 yr,null,null
New York,EIP,2020,2020,19,18-49 yr,null,null
New York,EIP,2020,2020,20,18-49 yr,null,null
New York,EIP,2020,2020,21,18-49 yr,null,null
New York,EIP,2020,2020,22,18-49 yr,null,null
New York,EIP,2020,2020,23,18-49 yr,null,null
New York,EIP,2020,2020,24,18-49 yr,null,null
New York,EIP,2020,2020,25,18-49 yr,null,null
New York,EIP,2020,2020,26,18-49 yr,null,null
New York,EIP,2020,2020,27,18-49 yr,null,null
New York,EIP,2020,2020,28,18-49 yr,null,null
New York,EIP,2020,2020,29,18-49 yr,null,null
New York,EIP,2020,2020,30,18-49 yr,null,null
New York,EIP,2020,2020,31,18-49 yr,null,null
New York,EIP,2020,2020,32,18-49 yr,null,null
New York,EIP,2020,2020,33,18-49 yr,null,null
New York,EIP,2020,2020,34,18-49 yr,null,null
New York,EIP,2020,2020,35,18-49 yr,null,null
New York,EIP,2020,2020,36,18-49 yr,null,null
New York,EIP,2020,2020,37,18-49 yr,null,null
New York,EIP,2020,2020,38,18-49 yr,null,null
New York,EIP,2020,2020,39,18-49 yr,null,null
New York,EIP,2020,2020,10,50-64 yr,0,0
New York,EIP,2020,2020,11,50-64 yr,0.4,0.4
New York,EIP,2020,2020,12,50-64 yr,2.8,2.4
New York,EIP,2020,2020,13,50-64 yr,9.8,7
New York,EIP,2020,2020,14,50-64 yr,null,null
New York,EIP,2020,2020,15,50-64 yr,null,null
New York,EIP,2020,2020,16,50-64 yr,null,null
New York,EIP,2020,2020,17,50-64 yr,null,null
New York,EIP,2020,2020,18,50-64 yr,null,null
New York,EIP,2020,2020,19,50-64 yr,null,null
New York,EIP,2020,2020,20,50-64 yr,null,null
New York,EIP,2020,2020,21,50-64 yr,null,null
New York,EIP,2020,2020,22,50-64 yr,null,null
New York,EIP,2020,2020,23,50-64 yr,null,null
New York,EIP,2020,2020,24,50-64 yr,null,null
New York,EIP,2020,2020,25,50-64 yr,null,null
New York,EIP,2020,2020,26,50-64 yr,null,null
New York,EIP,2020,2020,27,50-64 yr,null,null
New York,EIP,2020,2020,28,50-64 yr,null,null
New York,EIP,2020,2020,29,50-64 yr,null,null
New York,EIP,2020,2020,30,50-64 yr,null,null
New York,EIP,2020,2020,31,50-64 yr,null,null
New York,EIP,2020,2020,32,50-64 yr,null,null
New York,EIP,2020,2020,33,50-64 yr,null,null
New York,EIP,2020,2020,34,50-64 yr,null,null
New York,EIP,2020,2020,35,50-64 yr,null,null
New York,EIP,2020,2020,36,50-64 yr,null,null
New York,EIP,2020,2020,37,50-64 yr,null,null
New York,EIP,2020,2020,38,50-64 yr,null,null
New York,EIP,2020,2020,39,50-64 yr,null,null
New York,EIP,2020,2020,10,65+ yr,0.3,0.3
New York,EIP,2020,2020,11,65+ yr,2.1,1.8
New York,EIP,2020,2020,12,65+ yr,8,5.9
New York,EIP,2020,2020,13,65+ yr,23.6,15.7
New York,EIP,2020,2020,14,65+ yr,null,null
New York,EIP,2020,2020,15,65+ yr,null,null
New York,EIP,2020,2020,16,65+ yr,null,null
New York,EIP,2020,2020,17,65+ yr,null,null
New York,EIP,2020,2020,18,65+ yr,null,null
New York,EIP,2020,2020,19,65+ yr,null,null
New York,EIP,2020,2020,20,65+ yr,null,null
New York,EIP,2020,2020,21,65+ yr,null,null
New York,EIP,2020,2020,22,65+ yr,null,null
New York,EIP,2020,2020,23,65+ yr,null,null
New York,EIP,2020,2020,24,65+ yr,null,null
New York,EIP,2020,2020,25,65+ yr,null,null
New York,EIP,2020,2020,26,65+ yr,null,null
New York,EIP,2020,2020,27,65+ yr,null,null
New York,EIP,2020,2020,28,65+ yr,null,null
New York,EIP,2020,2020,29,65+ yr,null,null
New York,EIP,2020,2020,30,65+ yr,null,null
New York,EIP,2020,2020,31,65+ yr,null,null
New York,EIP,2020,2020,32,65+ yr,null,null
New York,EIP,2020,2020,33,65+ yr,null,null
New York,EIP,2020,2020,34,65+ yr,null,null
New York,EIP,2020,2020,35,65+ yr,null,null
New York,EIP,2020,2020,36,65+ yr,null,null
New York,EIP,2020,2020,37,65+ yr,null,null
New York,EIP,2020,2020,38,65+ yr,null,null
New York,EIP,2020,2020,39,65+ yr,null,null
New York,EIP,2020,2020,10,Overall,0,0
New York,EIP,2020,2020,11,Overall,0.5,0.4
New York,EIP,2020,2020,12,Overall,2.3,1.8
New York,EIP,2020,2020,13,Overall,7.6,5.3
New York,EIP,2020,2020,14,Overall,null,null
New York,EIP,2020,2020,15,Overall,null,null
New York,EIP,2020,2020,16,Overall,null,null
New York,EIP,2020,2020,17,Overall,null,null
New York,EIP,2020,2020,18,Overall,null,null
New York,EIP,2020,2020,19,Overall,null,null
New York,EIP,2020,2020,20,Overall,null,null
New York,EIP,2020,2020,21,Overall,null,null
New York,EIP,2020,2020,22,Overall,null,null
New York,EIP,2020,2020,23,Overall,null,null
New York,EIP,2020,2020,24,Overall,null,null
New York,EIP,2020,2020,25,Overall,null,null
New York,EIP,2020,2020,26,Overall,null,null
New York,EIP,2020,2020,27,Overall,null,null
New York,EIP,2020,2020,28,Overall,null,null
New York,EIP,2020,2020,29,Overall,null,null
New York,EIP,2020,2020,30,Overall,null,null
New York,EIP,2020,2020,31,Overall,null,null
New York,EIP,2020,2020,32,Overall,null,null
New York,EIP,2020,2020,33,Overall,null,null
New York,EIP,2020,2020,34,Overall,null,null
New York,EIP,2020,2020,35,Overall,null,null
New York,EIP,2020,2020,36,Overall,null,null
New York,EIP,2020,2020,37,Overall,null,null
New York,EIP,2020,2020,38,Overall,null,null
New York,EIP,2020,2020,39,Overall,null,null
New York,EIP,2020,2020,10,65-74 yr,0,0
New York,EIP,2020,2020,11,65-74 yr,3.1,3.1
New York,EIP,2020,2020,12,65-74 yr,5.8,2.7
New York,EIP,2020,2020,13,65-74 yr,20.9,15.1
New York,EIP,2020,2020,14,65-74 yr,null,null
New York,EIP,2020,2020,15,65-74 yr,null,null
New York,EIP,2020,2020,16,65-74 yr,null,null
New York,EIP,2020,2020,17,65-74 yr,null,null
New York,EIP,2020,2020,18,65-74 yr,null,null
New York,EIP,2020,2020,19,65-74 yr,null,null
New York,EIP,2020,2020,20,65-74 yr,null,null
New York,EIP,2020,2020,21,65-74 yr,null,null
New York,EIP,2020,2020,22,65-74 yr,null,null
New York,EIP,2020,2020,23,65-74 yr,null,null
New York,EIP,2020,2020,24,65-74 yr,null,null
New York,EIP,2020,2020,25,65-74 yr,null,null
New York,EIP,2020,2020,26,65-74 yr,null,null
New York,EIP,2020,2020,27,65-74 yr,null,null
New York,EIP,2020,2020,28,65-74 yr,null,null
New York,EIP,2020,2020,29,65-74 yr,null,null
New York,EIP,2020,2020,30,65-74 yr,null,null
New York,EIP,2020,2020,31,65-74 yr,null,null
New York,EIP,2020,2020,32,65-74 yr,null,null
New York,EIP,2020,2020,33,65-74 yr,null,null
New York,EIP,2020,2020,34,65-74 yr,null,null
New York,EIP,2020,2020,35,65-74 yr,null,null
New York,EIP,2020,2020,36,65-74 yr,null,null
New York,EIP,2020,2020,37,65-74 yr,null,null
New York,EIP,2020,2020,38,65-74 yr,null,null
New York,EIP,2020,2020,39,65-74 yr,null,null
New York,EIP,2020,2020,10,75-84 yr,0.9,0.9
New York,EIP,2020,2020,11,75-84 yr,0.9,0
New York,EIP,2020,2020,12,75-84 yr,11.7,10.8
New York,EIP,2020,2020,13,75-84 yr,29.6,17.9
New York,EIP,2020,2020,14,75-84 yr,null,null
New York,EIP,2020,2020,15,75-84 yr,null,null
New York,EIP,2020,2020,16,75-84 yr,null,null
New York,EIP,2020,2020,17,75-84 yr,null,null
New York,EIP,2020,2020,18,75-84 yr,null,null
New York,EIP,2020,2020,19,75-84 yr,null,null
New York,EIP,2020,2020,20,75-84 yr,null,null
New York,EIP,2020,2020,21,75-84 yr,null,null
New York,EIP,2020,2020,22,75-84 yr,null,null
New York,EIP,2020,2020,23,75-84 yr,null,null
New York,EIP,2020,2020,24,75-84 yr,null,null
New York,EIP,2020,2020,25,75-84 yr,null,null
New York,EIP,2020,2020,26,75-84 yr,null,null
New York,EIP,2020,2020,27,75-84 yr,null,null
New York,EIP,2020,2020,28,75-84 yr,null,null
New York,EIP,2020,2020,29,75-84 yr,null,null
New York,EIP,2020,2020,30,75-84 yr,null,null
New York,EIP,2020,2020,31,75-84 yr,null,null
New York,EIP,2020,2020,32,75-84 yr,null,null
New York,EIP,2020,2020,33,75-84 yr,null,null
New York,EIP,2020,2020,34,75-84 yr,null,null
New York,EIP,2020,2020,35,75-84 yr,null,null
New York,EIP,2020,2020,36,75-84 yr,null,null
New York,EIP,2020,2020,37,75-84 yr,null,null
New York,EIP,2020,2020,38,75-84 yr,null,null
New York,EIP,2020,2020,39,75-84 yr,null,null
New York,EIP,2020,2020,10,85+,0,0
New York,EIP,2020,2020,11,85+,0,0
New York,EIP,2020,2020,12,85+,9.4,9.4
New York,EIP,2020,2020,13,85+,22.4,13.1
New York,EIP,2020,2020,14,85+,null,null
New York,EIP,2020,2020,15,85+,null,null
New York,EIP,2020,2020,16,85+,null,null
New York,EIP,2020,2020,17,85+,null,null
New York,EIP,2020,2020,18,85+,null,null
New York,EIP,2020,2020,19,85+,null,null
New York,EIP,2020,2020,20,85+,null,null
New York,EIP,2020,2020,21,85+,null,null
New York,EIP,2020,2020,22,85+,null,null
New York,EIP,2020,2020,23,85+,null,null
New York,EIP,2020,2020,24,85+,null,null
New York,EIP,2020,2020,25,85+,null,null
New York,EIP,2020,2020,26,85+,null,null
New York,EIP,2020,2020,27,85+,null,null
New York,EIP,2020,2020,28,85+,null,null
New York,EIP,2020,2020,29,85+,null,null
New York,EIP,2020,2020,30,85+,null,null
New York,EIP,2020,2020,31,85+,null,null
New York,EIP,2020,2020,32,85+,null,null
New York,EIP,2020,2020,33,85+,null,null
New York,EIP,2020,2020,34,85+,null,null
New York,EIP,2020,2020,35,85+,null,null
New York,EIP,2020,2020,36,85+,null,null
New York,EIP,2020,2020,37,85+,null,null
New York,EIP,2020,2020,38,85+,null,null
New York,EIP,2020,2020,39,85+,null,null
Oregon,EIP,2020,2020,10,0-4 yr,0,0
Oregon,EIP,2020,2020,11,0-4 yr,0,0
Oregon,EIP,2020,2020,12,0-4 yr,0,0
Oregon,EIP,2020,2020,13,0-4 yr,0,0
Oregon,EIP,2020,2020,14,0-4 yr,null,null
Oregon,EIP,2020,2020,15,0-4 yr,null,null
Oregon,EIP,2020,2020,16,0-4 yr,null,null
Oregon,EIP,2020,2020,17,0-4 yr,null,null
Oregon,EIP,2020,2020,18,0-4 yr,null,null
Oregon,EIP,2020,2020,19,0-4 yr,null,null
Oregon,EIP,2020,2020,20,0-4 yr,null,null
Oregon,EIP,2020,2020,21,0-4 yr,null,null
Oregon,EIP,2020,2020,22,0-4 yr,null,null
Oregon,EIP,2020,2020,23,0-4 yr,null,null
Oregon,EIP,2020,2020,24,0-4 yr,null,null
Oregon,EIP,2020,2020,25,0-4 yr,null,null
Oregon,EIP,2020,2020,26,0-4 yr,null,null
Oregon,EIP,2020,2020,27,0-4 yr,null,null
Oregon,EIP,2020,2020,28,0-4 yr,null,null
Oregon,EIP,2020,2020,29,0-4 yr,null,null
Oregon,EIP,2020,2020,30,0-4 yr,null,null
Oregon,EIP,2020,2020,31,0-4 yr,null,null
Oregon,EIP,2020,2020,32,0-4 yr,null,null
Oregon,EIP,2020,2020,33,0-4 yr,null,null
Oregon,EIP,2020,2020,34,0-4 yr,null,null
Oregon,EIP,2020,2020,35,0-4 yr,null,null
Oregon,EIP,2020,2020,36,0-4 yr,null,null
Oregon,EIP,2020,2020,37,0-4 yr,null,null
Oregon,EIP,2020,2020,38,0-4 yr,null,null
Oregon,EIP,2020,2020,39,0-4 yr,null,null
Oregon,EIP,2020,2020,10,5-17 yr,0,0
Oregon,EIP,2020,2020,11,5-17 yr,0,0
Oregon,EIP,2020,2020,12,5-17 yr,0,0
Oregon,EIP,2020,2020,13,5-17 yr,0,0
Oregon,EIP,2020,2020,14,5-17 yr,null,null
Oregon,EIP,2020,2020,15,5-17 yr,null,null
Oregon,EIP,2020,2020,16,5-17 yr,null,null
Oregon,EIP,2020,2020,17,5-17 yr,null,null
Oregon,EIP,2020,2020,18,5-17 yr,null,null
Oregon,EIP,2020,2020,19,5-17 yr,null,null
Oregon,EIP,2020,2020,20,5-17 yr,null,null
Oregon,EIP,2020,2020,21,5-17 yr,null,null
Oregon,EIP,2020,2020,22,5-17 yr,null,null
Oregon,EIP,2020,2020,23,5-17 yr,null,null
Oregon,EIP,2020,2020,24,5-17 yr,null,null
Oregon,EIP,2020,2020,25,5-17 yr,null,null
Oregon,EIP,2020,2020,26,5-17 yr,null,null
Oregon,EIP,2020,2020,27,5-17 yr,null,null
Oregon,EIP,2020,2020,28,5-17 yr,null,null
Oregon,EIP,2020,2020,29,5-17 yr,null,null
Oregon,EIP,2020,2020,30,5-17 yr,null,null
Oregon,EIP,2020,2020,31,5-17 yr,null,null
Oregon,EIP,2020,2020,32,5-17 yr,null,null
Oregon,EIP,2020,2020,33,5-17 yr,null,null
Oregon,EIP,2020,2020,34,5-17 yr,null,null
Oregon,EIP,2020,2020,35,5-17 yr,null,null
Oregon,EIP,2020,2020,36,5-17 yr,null,null
Oregon,EIP,2020,2020,37,5-17 yr,null,null
Oregon,EIP,2020,2020,38,5-17 yr,null,null
Oregon,EIP,2020,2020,39,5-17 yr,null,null
Oregon,EIP,2020,2020,10,18-49 yr,0,0
Oregon,EIP,2020,2020,11,18-49 yr,0.2,0.2
Oregon,EIP,2020,2020,12,18-49 yr,0.4,0.1
Oregon,EIP,2020,2020,13,18-49 yr,0.4,0
Oregon,EIP,2020,2020,14,18-49 yr,null,null
Oregon,EIP,2020,2020,15,18-49 yr,null,null
Oregon,EIP,2020,2020,16,18-49 yr,null,null
Oregon,EIP,2020,2020,17,18-49 yr,null,null
Oregon,EIP,2020,2020,18,18-49 yr,null,null
Oregon,EIP,2020,2020,19,18-49 yr,null,null
Oregon,EIP,2020,2020,20,18-49 yr,null,null
Oregon,EIP,2020,2020,21,18-49 yr,null,null
Oregon,EIP,2020,2020,22,18-49 yr,null,null
Oregon,EIP,2020,2020,23,18-49 yr,null,null
Oregon,EIP,2020,2020,24,18-49 yr,null,null
Oregon,EIP,2020,2020,25,18-49 yr,null,null
Oregon,EIP,2020,2020,26,18-49 yr,null,null
Oregon,EIP,2020,2020,27,18-49 yr,null,null
Oregon,EIP,2020,2020,28,18-49 yr,null,null
Oregon,EIP,2020,2020,29,18-49 yr,null,null
Oregon,EIP,2020,2020,30,18-49 yr,null,null
Oregon,EIP,2020,2020,31,18-49 yr,null,null
Oregon,EIP,2020,2020,32,18-49 yr,null,null
Oregon,EIP,2020,2020,33,18-49 yr,null,null
Oregon,EIP,2020,2020,34,18-49 yr,null,null
Oregon,EIP,2020,2020,35,18-49 yr,null,null
Oregon,EIP,2020,2020,36,18-49 yr,null,null
Oregon,EIP,2020,2020,37,18-49 yr,null,null
Oregon,EIP,2020,2020,38,18-49 yr,null,null
Oregon,EIP,2020,2020,39,18-49 yr,null,null
Oregon,EIP,2020,2020,10,50-64 yr,0,0
Oregon,EIP,2020,2020,11,50-64 yr,0.6,0.6
Oregon,EIP,2020,2020,12,50-64 yr,1.2,0.6
Oregon,EIP,2020,2020,13,50-64 yr,1.2,0
Oregon,EIP,2020,2020,14,50-64 yr,null,null
Oregon,EIP,2020,2020,15,50-64 yr,null,null
Oregon,EIP,2020,2020,16,50-64 yr,null,null
Oregon,EIP,2020,2020,17,50-64 yr,null,null
Oregon,EIP,2020,2020,18,50-64 yr,null,null
Oregon,EIP,2020,2020,19,50-64 yr,null,null
Oregon,EIP,2020,2020,20,50-64 yr,null,null
Oregon,EIP,2020,2020,21,50-64 yr,null,null
Oregon,EIP,2020,2020,22,50-64 yr,null,null
Oregon,EIP,2020,2020,23,50-64 yr,null,null
Oregon,EIP,2020,2020,24,50-64 yr,null,null
Oregon,EIP,2020,2020,25,50-64 yr,null,null
Oregon,EIP,2020,2020,26,50-64 yr,null,null
Oregon,EIP,2020,2020,27,50-64 yr,null,null
Oregon,EIP,2020,2020,28,50-64 yr,null,null
Oregon,EIP,2020,2020,29,50-64 yr,null,null
Oregon,EIP,2020,2020,30,50-64 yr,null,null
Oregon,EIP,2020,2020,31,50-64 yr,null,null
Oregon,EIP,2020,2020,32,50-64 yr,null,null
Oregon,EIP,2020,2020,33,50-64 yr,null,null
Oregon,EIP,2020,2020,34,50-64 yr,null,null
Oregon,EIP,2020,2020,35,50-64 yr,null,null
Oregon,EIP,2020,2020,36,50-64 yr,null,null
Oregon,EIP,2020,2020,37,50-64 yr,null,null
Oregon,EIP,2020,2020,38,50-64 yr,null,null
Oregon,EIP,2020,2020,39,50-64 yr,null,null
Oregon,EIP,2020,2020,10,65+ yr,0.4,0.4
Oregon,EIP,2020,2020,11,65+ yr,1.5,1.1
Oregon,EIP,2020,2020,12,65+ yr,2.3,0.8
Oregon,EIP,2020,2020,13,65+ yr,2.3,0
Oregon,EIP,2020,2020,14,65+ yr,null,null
Oregon,EIP,2020,2020,15,65+ yr,null,null
Oregon,EIP,2020,2020,16,65+ yr,null,null
Oregon,EIP,2020,2020,17,65+ yr,null,null
Oregon,EIP,2020,2020,18,65+ yr,null,null
Oregon,EIP,2020,2020,19,65+ yr,null,null
Oregon,EIP,2020,2020,20,65+ yr,null,null
Oregon,EIP,2020,2020,21,65+ yr,null,null
Oregon,EIP,2020,2020,22,65+ yr,null,null
Oregon,EIP,2020,2020,23,65+ yr,null,null
Oregon,EIP,2020,2020,24,65+ yr,null,null
